file,N,tau_int,N_eff,Rhat_split4,accept_rate_log
c:\Users\Jesse\Desktop\Experimente\CWSN\data\desi\edr\processed\voidfinder\vgcf\cobaya_pack\chains_cosmo_quick_camb_floor.1.txt,3600,787.7042862377809,4.570242999684888,3.129043033591813,0.273451
c:\Users\Jesse\Desktop\Experimente\CWSN\data\desi\edr\processed\voidfinder\vgcf\cobaya_pack\chains_cosmo_quick_camb_floor_prior059.1.txt,18000,256.62318864475185,70.14175178423851,1.0650763705046344,
c:\Users\Jesse\Desktop\Experimente\CWSN\data\desi\edr\processed\voidfinder\vgcf\cobaya_pack\chains_cosmo_quick_camb_ncdm3.1.txt,18000,103.39649326548847,174.08714194766617,1.01892979451309,
